FID,OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Le_1,Shape_Area,Count_
0,1,9,5,Staten Island,000900,5000900,I,SI22,West New Brighton-New Brighton-St. George,3903,7729.016729150000200,7729.016992939999900,2497009.840170000200000,0
1,2,125,5,Staten Island,012500,5012500,I,SI22,West New Brighton-New Brighton-St. George,3903,10582.855529700000000,10582.855622700001000,4954936.150279999700000,3
2,3,133.01,5,Staten Island,013301,5013301,E,SI22,West New Brighton-New Brighton-St. George,3903,3428.312676090000000,3428.312703709999800,721784.631595000040000,0
3,4,197,5,Staten Island,019700,5019700,I,SI07,Westerleigh,3903,9097.697230710000400,9097.696906260000100,3231719.930009999800000,0
4,5,64,5,Staten Island,006400,5006400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12726.360448900001000,12726.360703200000000,7643183.469569999700000,0
5,6,74,5,Staten Island,007400,5007400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,9902.948471499999900,9902.948595750000100,5788237.863160000200000,1
6,7,22.02,1,Manhattan,002202,1002202,I,MN28,Lower East Side,3809,3817.391631099999800,3817.391717130000000,603922.241715000010000,0
7,8,32,1,Manhattan,003200,1003200,I,MN22,East Village,3809,6358.386684459999700,6358.387160129999800,2334190.382160000000000,1
8,9,68,1,Manhattan,006800,1006800,I,MN21,Gramercy,3808,5723.883036960000000,5723.882785879999600,1877943.118770000100000,0
9,10,89,1,Manhattan,008900,1008900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.769498599999700,5578.769362019999800,1782278.338049999900000,5
10,11,96,1,Manhattan,009600,1009600,E,MN17,Midtown-Midtown South,3807,5737.356247060000000,5737.355900350000400,1887288.416770000000000,0
11,12,98,1,Manhattan,009800,1009800,I,MN19,Turtle Bay-East Midtown,3808,5534.199810629999800,5534.200048339999700,1906016.280120000000000,1
12,13,100,1,Manhattan,010000,1010000,I,MN19,Turtle Bay-East Midtown,3808,5692.168488289999900,5692.168784300000000,1860938.375270000000000,2
13,14,102,1,Manhattan,010200,1010200,I,MN17,Midtown-Midtown South,3807,5687.802579000000200,5687.803112700000400,1860992.702409999900000,1
14,15,104,1,Manhattan,010400,1010400,I,MN17,Midtown-Midtown South,3807,5693.036117929999800,5693.036057899999800,1864600.292990000000000,0
15,16,112.01,1,Manhattan,011201,1011201,I,MN17,Midtown-Midtown South,3807,3716.146784690000000,3716.146337300000100,856164.207299000000000,0
16,17,112.02,1,Manhattan,011202,1011202,I,MN17,Midtown-Midtown South,3807,3688.762327739999800,3688.761849110000200,839525.843100999950000,0
17,18,112.03,1,Manhattan,011203,1011203,I,MN19,Turtle Bay-East Midtown,3808,3701.173031289999900,3701.173365109999800,854082.516415999970000,1
18,19,113,1,Manhattan,011300,1011300,I,MN17,Midtown-Midtown South,3807,5699.860641270000100,5699.860930539999600,1890907.506970000000000,4
19,20,114.02,1,Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.256100440000400,4125.256191180000300,1063547.281770000000000,2
20,21,130,1,Manhattan,013000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972956380000100,5807.972932929999800,1918144.623829999900000,0
21,22,140,1,Manhattan,014000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.815640279999600,5820.815752849999600,1925984.188660000000000,1
22,23,146.01,1,Manhattan,014601,1014601,I,MN32,Yorkville,3805,4016.133392730000200,4016.133398819999900,799879.862097000000000,0
23,24,146.02,1,Manhattan,014602,1014602,I,MN32,Yorkville,3805,4528.695482840000300,4528.695989799999600,1175338.581610000000000,0
24,25,148.01,1,Manhattan,014801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.951423049999900,3135.951731059999900,559216.302360999980000,1
25,26,148.02,1,Manhattan,014802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,4691.029340600000100,4691.029536179999900,1351364.866710000000000,0
26,27,153,1,Manhattan,015300,1015300,I,MN14,Lincoln Square,3806,5674.292341579999600,5674.292210270000400,1872392.625000000000000,0
27,28,154,1,Manhattan,015400,1015400,I,MN32,Yorkville,3805,5536.958003519999700,5536.957944390000200,1909222.296520000100000,0
28,29,156.01,1,Manhattan,015601,1015601,I,MN32,Yorkville,3805,4004.824470399999900,4004.824393739999800,791912.516091000060000,0
29,30,156.02,1,Manhattan,015602,1015602,E,MN33,East Harlem South,3804,4524.706934439999700,4524.706980410000100,1169934.671510000000000,0
30,31,160.01,1,Manhattan,016001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805,4698.507095910000300,4698.507171880000000,1351864.912740000100000,0
