FID,STATEFP10,PUMACE10,AFFGEOID10,GEOID10,NAME10,LSAD10,ALAND10,AWATER10
0,36,04014,7950000US3604014,3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",P0,8145963.000000000000000,0.000000000000000
1,36,04006,7950000US3604006,3604006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights,P0,5753077.000000000000000,0.000000000000000
2,36,04009,7950000US3604009,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,P0,32881343.000000000000000,27754658.000000000000000
3,36,03709,7950000US3603709,3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester",P0,11470613.000000000000000,3004963.000000000000000
4,36,03807,7950000US3603807,3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",P0,7960184.000000000000000,2115983.000000000000000
5,36,03705,7950000US3603705,3603705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",P0,11330489.000000000000000,62113.000000000000000
6,36,04108,7950000US3604108,3604108,NYC-Queens Community District 6--Forest Hills & Rego Park,P0,7257393.000000000000000,0.000000000000000
7,36,03701,7950000US3603701,3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",P0,8867704.000000000000000,3432838.000000000000000
8,36,04106,7950000US3604106,3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest",P0,19291881.000000000000000,0.000000000000000
9,36,03708,7950000US3603708,3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden",P0,5173111.000000000000000,9963.000000000000000
10,36,03803,7950000US3603803,3603803,NYC-Manhattan Community District 10--Central Harlem,P0,3703008.000000000000000,241237.000000000000000
11,36,03805,7950000US3603805,3603805,NYC-Manhattan Community District 8--Upper East Side,P0,5149163.000000000000000,1846536.000000000000000
12,36,03809,7950000US3603809,3603809,NYC-Manhattan Community District 3--Chinatown & Lower East Side,P0,4519374.000000000000000,2040323.000000000000000
13,36,04013,7950000US3604013,3604013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights,P0,9970238.000000000000000,6745946.000000000000000
14,36,03806,7950000US3603806,3603806,NYC-Manhattan Community District 7--Upper West Side & West Side,P0,7674115.000000000000000,2817827.000000000000000
15,36,04011,7950000US3604011,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",P0,4424283.000000000000000,0.000000000000000
16,36,04114,7950000US3604114,3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",P0,29579719.000000000000000,158067598.000000000000000
17,36,04015,7950000US3604015,3604015,NYC-Brooklyn Community District 14--Flatbush & Midwood,P0,7529574.000000000000000,0.000000000000000
18,36,04004,7950000US3604004,3604004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene,P0,8060807.000000000000000,419809.000000000000000
19,36,04010,7950000US3604010,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby",P0,7976384.000000000000000,0.000000000000000
20,36,03704,7950000US3603704,3603704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",P0,9868320.000000000000000,0.000000000000000
21,36,03801,7950000US3603801,3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",P0,7589688.000000000000000,4708133.000000000000000
22,36,03903,7950000US3603903,3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor",P0,36287584.000000000000000,8574103.000000000000000
23,36,04110,7950000US3604110,3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village",P0,18975434.000000000000000,97145.000000000000000
24,36,04102,7950000US3604102,3604102,NYC-Queens Community District 3--Jackson Heights & North Corona,P0,10838507.000000000000000,2193944.000000000000000
25,36,04008,7950000US3604008,3604008,NYC-Brooklyn Community District 5--East New York & Starrett City,P0,15722470.000000000000000,572218.000000000000000
26,36,04105,7950000US3604105,3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale",P0,50643533.000000000000000,1085564.000000000000000
27,36,04113,7950000US3604113,3604113,NYC-Queens Community District 10--Howard Beach & Ozone Park,P0,15914763.000000000000000,1170042.000000000000000
28,36,03808,7950000US3603808,3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",P0,4199315.000000000000000,2729166.000000000000000
29,36,04111,7950000US3604111,3604111,NYC-Queens Community District 9--Richmond Hill & Woodhaven,P0,12288669.000000000000000,0.000000000000000
30,36,04107,7950000US3604107,3604107,NYC-Queens Community District 4--Elmhurst & South Corona,P0,9343142.000000000000000,1281692.000000000000000
31,36,04002,7950000US3604002,3604002,NYC-Brooklyn Community District 4--Bushwick,P0,6567246.000000000000000,0.000000000000000
32,36,04012,7950000US3604012,3604012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace,P0,10396089.000000000000000,4743322.000000000000000
33,36,04005,7950000US3604005,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",P0,10365261.000000000000000,5661245.000000000000000
