OBJECTID_1,location_t,boro,objectid,type,y,ssid,city,x,lat,name,long,source_id,location,provider,remarks
1,Outdoor,BX,1125.000000000000000,Free,237209.638490999990000,attwifi,Bronx,1017160.474520000000000,40.817700000000002,Hunts Point Riverside Park,-73.881100000000004,,Near Performance Stage,AT&T,
2,Subway Station,MN,1899.000000000000000,Free,223261.087976000010000,TransitWirelessWiFi,New York,996387.900581000020000,40.779468000000001,IRT-4-5-6-86TH ST - GRAND CONCOURSE,-73.956173000000007,,"86 Street [4,5,6]",Transit Wireless,SN 397
3,Subway Station,BX,1900.000000000000000,Free,234563.231711000000000,TransitWirelessWiFi,Bronx,1004695.191710000000000,40.810473999999999,IRT-6-3RD AVE - 138TH STREET,-73.926142999999996,,3 Avenue - 138 St [6],Transit Wireless,SN 377
4,Subway Station,BX,1901.000000000000000,Free,235557.022046000000000,TransitWirelessWiFi,Bronx,1003665.450660000000000,40.813203999999999,IRT-4-5-138TH ST - GRAND CONCOURSE,-73.929860000000005,,"138 St - Grand Concourse [4,5]",Transit Wireless,SN 391
5,Subway Station,BX,1902.000000000000000,Free,237453.001194000010000,TransitWirelessWiFi,Bronx,1004524.744540000000000,40.818406000000003,IRT-2-5-149TH ST - GRAND CONCOURSE,-73.926749999999998,,149 St - Grand Concourse,Transit Wireless,SN 435
6,Subway Station,BX,1903.000000000000000,Free,237440.834879000000000,TransitWirelessWiFi,Bronx,1004352.592330000000000,40.818373000000001,IRT-4-149TH ST - GRAND CONCOURSE,-73.927372000000005,,149 St - Grand Concourse [4],Transit Wireless,SN 390
7,Outdoor TWC Aerial,QU,1904.000000000000000,Limited Free,186486.006342999990000,GuestWiFi,Queens,1044307.126920000000000,40.678334000000000,Baisley Pond Park,-73.783477000000005,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
8,Outdoor TWC Aerial,QU,1905.000000000000000,Limited Free,182571.296653000000000,GuestWiFi,Queens,1042668.117400000000000,40.667600000000000,Baisley Pond Park,-73.789420000000007,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
9,Outdoor TWC Aerial,QU,1906.000000000000000,Limited Free,187676.307768000000000,GuestWiFi,Queens,1042980.353980000000000,40.681609999999999,Baisley Pond Park,-73.788250000000005,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
10,Outdoor TWC Aerial,QU,1907.000000000000000,Limited Free,187283.357767000010000,GuestWiFi,Queens,1043197.646860000000000,40.680529999999997,Baisley Pond Park,-73.787469999999999,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
11,Outdoor TWC Aerial,QU,1908.000000000000000,Limited Free,186955.476204000010000,GuestWiFi,Queens,1043203.989690000000000,40.679630000000003,Baisley Pond Park,-73.787450000000007,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
12,Outdoor TWC Aerial,QU,1909.000000000000000,Limited Free,188188.685024000010000,GuestWiFi,Queens,1043930.434100000000000,40.683010000000003,Baisley Pond Park,-73.784819999999996,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
13,Outdoor,BX,1126.000000000000000,Free,253742.023733999990000,attwifi,Bronx,1010112.325230000000000,40.863100000000003,Devoe Park,-73.906499999999994,,Near Tennis Courts,AT&T,
14,Outdoor,BX,1127.000000000000000,Free,241131.574216999990000,attwifi,Bronx,1005642.491980000000000,40.828499999999998,Joyce Kilmer Park,-73.922700000000006,,North Playground,AT&T,
15,Outdoor TWC Aerial,QU,1910.000000000000000,Limited Free,188774.525716000000000,GuestWiFi,Queens,1043632.234900000000000,40.684620000000002,Baisley Pond Park,-73.785889999999995,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
16,Outdoor TWC Aerial,QU,1911.000000000000000,Limited Free,188893.855202000010000,GuestWiFi,Queens,1043263.075530000000000,40.684950000000001,Baisley Pond Park,-73.787220000000005,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
17,Outdoor TWC Aerial,QU,1912.000000000000000,Limited Free,186412.856883000000000,GuestWiFi,Queens,1043299.613189999900000,40.678139999999999,Baisley Pond Park,-73.787109999999998,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
18,Outdoor TWC Aerial,QU,1913.000000000000000,Limited Free,185859.186729999990000,GuestWiFi,Queens,1043345.339150000000000,40.676620000000000,Baisley Pond Park,-73.786950000000004,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
19,Outdoor TWC Aerial,QU,1914.000000000000000,Limited Free,186851.861253999990000,GuestWiFi,Queens,1044039.117610000000000,40.679340000000003,Baisley Pond Park,-73.784440000000004,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
20,Outdoor TWC Aerial,QU,1915.000000000000000,Limited Free,187379.972730999990000,GuestWiFi,Queens,1043971.251280000000000,40.680790000000002,Baisley Pond Park,-73.784679999999994,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
21,Outdoor TWC Aerial,QU,1916.000000000000000,Limited Free,184423.851017999990000,GuestWiFi,Queens,1043395.987340000000000,40.672680000000000,Baisley Pond Park,-73.786779999999993,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
22,Outdoor TWC Aerial,QU,1917.000000000000000,Limited Free,184607.105901000000000,GuestWiFi,Queens,1043842.144260000000000,40.673180000000002,Baisley Pond Park,-73.785169999999994,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
23,Outdoor TWC Aerial,QU,1918.000000000000000,Limited Free,185669.098856000000000,GuestWiFi,Queens,1044569.052249999900000,40.676090000000002,Baisley Pond Park,-73.782539999999997,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
24,Outdoor TWC Aerial,QU,1919.000000000000000,Limited Free,185219.892077000000000,GuestWiFi,Queens,1044131.896960000000000,40.674860000000002,Baisley Pond Park,-73.784120000000001,0,Park Perimeter,Time Warner Cable,3 free 10 min sessions
