,Borough,2010 NYC Borough Code,PUMA,censustract,HSI,Device,WGTP,withoutHSI,WithoutDevice
0,Bronx,2,03704,36005031000,29102,33676,42571,31.6389091165,20.8945056494
1,Bronx,2,03704,36005031200,29102,33676,42571,31.6389091165,20.8945056494
2,Bronx,2,03704,36005031400,29102,33676,42571,31.6389091165,20.8945056494
3,Bronx,2,03704,36005031600,29102,33676,42571,31.6389091165,20.8945056494
4,Bronx,2,03704,36005031800,29102,33676,42571,31.6389091165,20.8945056494
5,Bronx,2,03704,36005032600,29102,33676,42571,31.6389091165,20.8945056494
6,Bronx,2,03704,36005034200,29102,33676,42571,31.6389091165,20.8945056494
7,Bronx,2,03704,36005034400,29102,33676,42571,31.6389091165,20.8945056494
8,Bronx,2,03704,36005034800,29102,33676,42571,31.6389091165,20.8945056494
9,Bronx,2,03704,36005035000,29102,33676,42571,31.6389091165,20.8945056494
10,Bronx,2,03704,36005036000,29102,33676,42571,31.6389091165,20.8945056494
11,Bronx,2,03704,36005032400,29102,33676,42571,31.6389091165,20.8945056494
12,Bronx,2,03704,36005032800,29102,33676,42571,31.6389091165,20.8945056494
13,Bronx,2,03704,36005033000,29102,33676,42571,31.6389091165,20.8945056494
14,Bronx,2,03704,36005033201,29102,33676,42571,31.6389091165,20.8945056494
15,Bronx,2,03704,36005033202,29102,33676,42571,31.6389091165,20.8945056494
16,Bronx,2,03704,36005033600,29102,33676,42571,31.6389091165,20.8945056494
17,Bronx,2,03704,36005033800,29102,33676,42571,31.6389091165,20.8945056494
18,Bronx,2,03704,36005034000,29102,33676,42571,31.6389091165,20.8945056494
19,Bronx,2,03704,36005022401,29102,33676,42571,31.6389091165,20.8945056494
20,Bronx,2,03704,36005022403,29102,33676,42571,31.6389091165,20.8945056494
21,Bronx,2,03704,36005022404,29102,33676,42571,31.6389091165,20.8945056494
22,Bronx,2,03704,36005022800,29102,33676,42571,31.6389091165,20.8945056494
23,Bronx,2,03704,36005024600,29102,33676,42571,31.6389091165,20.8945056494
24,Bronx,2,03704,36005024800,29102,33676,42571,31.6389091165,20.8945056494
